album_id,title,artist_id,release_year
al1,Midnights,a1,2022
al2,Starboy,a2,2016
al3,Mercury - Act 1,a3,2021
al4,Scorpion,a4,2018
al5,Discovery,a5,2001
al6,After Hours,a2,2020
al7,Happier Than Ever,a6,2021
al8,Divide,a7,2017
al9,30,a8,2021
al10,Music of the Spheres,a9,2021
al11,Hollywood’s Bleeding,a10,2019
al12,DAMN.,a11,2017
al13,Born to Die,a12,2012
al14,Fine Line,a13,2019
al15,Planet Her,a14,2021
al16,AM,a15,2013
al17,24K Magic,a16,2016
al18,"If I Can’t Have Love, I Want Power",a17,2021
al19,This Is Acting,a18,2016
al20,Future Nostalgia,a19,2020
al21,Renaissance,a20,2022
al22,Evermore,a1,2020
al23,Evolve,a3,2017
al24,Unorthodox Jukebox,a16,2012
al25,Viva la Vida,a9,2008
al26,Beerbongs & Bentleys,a10,2018
al27,25,a8,2015
al28,Anti,a20,2016
al29,Random Access Memories,a5,2013
al30,Melodrama,a12,2017
