artist_id,artist_name,monthly_listeners
a1,Taylor Swift,92000000
a2,The Weeknd,88000000
a3,Imagine Dragons,52000000
a4,Drake,72000000
a5,Daft Punk,30000000
a6,Billie Eilish,70000000
a7,Ed Sheeran,76000000
a8,Adele,64000000
a9,Coldplay,58000000
a10,Post Malone,68000000
a11,Kendrick Lamar,62000000
a12,Lana Del Rey,55000000
a13,Harry Styles,60000000
a14,Doja Cat,65000000
a15,Arctic Monkeys,45000000
a16,Bruno Mars,61000000
a17,Halsey,40000000
a18,Sia,39000000
a19,Dua Lipa,69000000
a20,Beyoncé,75000000
